QS World University Rankings by Faculty Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Psychology,,,,,,,,,
,,,,Institutions Considered,,995,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Weightings,,,,
,,,,Academic,0.4,,,,
,,,,Employer,0.3,,,,
,,,,Citations,0.1,,,,
,,,,H,0.1,,,,
,,,,IRN,0.1,,,,
Top 330 Universities - Psychology,,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,International,Score
201-250,201-250,University of Technology Sydney,Australia,55.7,66.6,77.5,74.7,37.1,
201-250,201-250,University of Turku,Finland,56.3,54.9,82.6,77.1,53.2,
201-250,151-200,University of Twente,Netherlands,51.6,64,78.9,77.1,38.9,
201-250,151-200,University of Waterloo,Canada,54,66.6,86.4,82.5,13.6,
201-250,251-300,Waseda University,Japan,63.3,70.7,58.6,60.6,30.3,
201-250,251-300,Washington State University,United States,47.9,60.7,83.3,81.7,45.3,
251-300,251-300,Aix-Marseille University,France,58,47.7,72.4,74.7,41.6,
251-300,251-300,Babes-Bolyai University,Romania,52.1,64,68.8,71.6,35.5,
251-300,201-250,Bangor University,United Kingdom,50.7,54,73.3,73.2,52.3,
251-300,251-300,Colorado State University,United States,44.1,60.7,82.6,78.6,46.6,
251-300,251-300,Florida International University,United States,41.2,57.5,79.3,81.4,59.7,
251-300,251-300,George Mason University,United States,51.6,47.4,83.7,82.7,43.2,
251-300,251-300,ISCTE - Instituto Universitario de Lisboa,Portugal,50.3,48.9,79.8,78.3,46,
251-300,251-300,Jagiellonian University,Poland,52.7,58.6,74.4,74.7,42.5,
251-300,251-300,Johannes Gutenberg Universität Mainz,Germany,49.6,43.9,83.4,81.4,48.8,
251-300,151-200,King Abdulaziz University (KAU),Saudi Arabia,52.1,66.6,68.9,68.5,50,
251-300,251-300,Massey University,New Zealand,55.9,61.4,66.1,67.6,39.4,
251-300,251-300,Osaka University,Japan,58.4,69.3,62.3,66,16.6,
251-300,201-250,Philipps-Universität Marburg ,Germany,53.5,42.6,80.6,76.8,48.6,
251-300,201-250,Pontificia Universidad Javeriana,Colombia,69.6,78.8,42.5,55.2,17.1,
251-300,,Rice University,United States,55.7,51.3,75.1,74.7,29.8,
251-300,251-300,Saint Petersburg State University,Russia,57,79.8,51.5,58.5,41.7,
251-300,201-250,Sun Yat-sen University,China (Mainland),57.1,60.7,78.5,77.1,16.5,
251-300,201-250,Sungkyunkwan University(SKKU),South Korea,58.5,69.7,67.7,67.1,16,
251-300,201-250,Tampere University,Finland,53,50.7,78.9,75.8,51.5,
251-300,251-300,The Education University of Hong Kong,Hong Kong SAR,59.2,43.7,77.3,75.8,40.2,
251-300,151-200,The University of Arizona,United States,52.7,53.8,82.6,83.9,33.8,
251-300,201-250,Tufts University,United States,52.4,54.5,80.2,78,30.3,
251-300,301-330,Universidad de Sevilla,Spain,51.1,61.2,74.7,71.2,38,
251-300,251-300,Universidad Diego Portales (UDP),Chile,61.1,74.2,54.7,61.9,27.3,
251-300,251-300,Universidade Federal do Rio Grande Do Sul ,Brazil,58.1,51.6,70.7,71.6,31.7,
251-300,201-250,Universität Jena,Germany,57.8,44.6,78,76.1,43.4,
251-300,301-330,Universität Potsdam,Germany,58.7,34.7,82.1,79.5,55.4,
251-300,,Université Grenoble Alpes,France,55.7,58.3,75.8,74.7,35,
251-300,251-300,Universiti Malaya (UM),Malaysia,63.7,69.6,60.2,63.2,24.1,
251-300,251-300,University of Aberdeen,United Kingdom,51.8,65.9,68.4,68.5,36.3,
251-300,251-300,University of Antwerp,Belgium,52.3,56,80.5,75.4,37,
251-300,251-300,University of Coimbra,Portugal,50.2,55.5,77.2,74.7,52.1,
251-300,251-300,University of Galway,Ireland,52.9,64.6,69.2,71.6,43.6,
251-300,201-250,University of Gothenburg,Sweden,53.1,50.8,79.1,80.6,49.5,
251-300,251-300,University of Göttingen,Germany,55.1,52.2,76.7,74,48.1,
251-300,251-300,University of Haifa,Israel,55.3,40.7,76.7,82.5,41.9,
