QS World University Rankings by Subject,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Engineering - Civil & Structural,,,,,,,,
Faculty Area,,Engineering & Technology,,Institutions Considered,,1220,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Weightings,,,
,,,,Academic,0.4,,,
,,,,Employer,0.3,,,
,,,,Citations,0.15,,,
,,,,H,0.15,,,
Top 240 Universities - Engineering - Civil & Structural,,,,,,,,
2024,2023,Institution,Location,Academic,Employer,Citations,H,Score
201-240,201-230,Swansea University,United Kingdom,63.1,64.1,69.8,57.6,
201-240,201-230,Swinburne University of Technology,Australia,46.9,54.6,92.8,86.2,
201-240,201-230,The American University in Cairo,Egypt,60.6,81.6,52,43.2,
201-240,201-230,The University of Arizona,United States,54.7,69.1,80.2,63.1,
201-240,201-230,The University of Warwick,United Kingdom,52.9,64.2,84.2,70.5,
201-240,,UNESP,Brazil,59.1,69.6,69,52.9,
201-240,,Université catholique de Louvain (UCLouvain),Belgium,57.6,69.5,68.5,50.8,
201-240,,Université de Liège,Belgium,60.6,55.1,81.4,63.1,
201-240,201-230,Université de Sherbrooke,Canada,51.8,58.7,87.5,74.1,
201-240,,University of Galway,Ireland,59.3,65.7,70.9,57.6,
201-240,151-200,University of Illinois at Chicago (UIC),United States,64,57.4,76.3,60.1,
201-240,,University of Jordan,Jordan,55.7,74.1,64.2,50.8,
201-240,201-230,University of Ottawa,Canada,51.6,63.1,83.2,68.8,
201-240,,University of Patras,Greece,60.2,56,79.1,66.4,
201-240,,University of Sharjah,United Arab Emirates,47.4,72,84,69.4,
201-240,,University of Surrey,United Kingdom,51.4,63,87.4,71.6,
201-240,201-230,University of Twente,Netherlands,59.2,60.4,82.2,64.5,
