2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
251-300,201-250,University of Surrey,United Kingdom,54.8,60.6,82.6,72.4,,59.3
251-300,251-300,University of Tehran,"Iran, Islamic Republic of",53.4,48.2,85,82,,83
251-300,251-300,University of Utah,United States,59.5,48.3,88.3,72.1,,41.8
251-300,251-300,Ural Federal University - UrFU,Russia,55.4,64.3,74.4,62.8,,59.2
251-300,301-350,Vellore Institute of Technology (VIT),India,51.4,64.7,77.6,71.4,,68.4
251-300,201-250,Virginia Polytechnic Institute and State University,United States,51.7,62.6,87.3,74.9,,49.3
251-300,201-250,Warsaw University of Technology,Poland,62.2,61.4,72.1,61.2,,49
251-300,201-250,Waseda University,Japan,55.6,67.4,77.1,64.7,,47.5
251-300,201-250,Westfälische Wilhelms-Universität Münster ,Germany,56.6,53.5,91.2,74,,50.4
301-350,201-250,Abo Akademi University,Finland,67.8,35.6,77,66.9,,53.4
301-350,301-350,"Birla Institute of Technology and Science, Pilani",India,53.1,67.2,74.9,60.1,,27.3
301-350,301-350,Boğaziçi University,Turkey,60.7,66.4,58.1,48.8,,17.1
301-350,301-350,Budapest University of Technology and Economics,Hungary,52.3,59.4,73.8,67.3,,61.7
301-350,301-350,Central South University,China (Mainland),51.1,45,88.2,89.5,,50
301-350,351-400,COMSATS University Islamabad,Pakistan,48.8,52.2,85.2,75.5,,81.2
301-350,,Deakin University,Australia,48.4,57.2,87.8,70.7,,54.5
