2024,2023,Institution,Location,Academic Reputation,Employer Reputation,Citations per Paper,H-index Citations,International,Score
301-350,351-400,University of Electronic Science and Technology of China,China (Mainland),,,,,,77.3
301-350,201-250,University of Göttingen,Germany,,,,,,57.4
301-350,301-350,University of Limerick,Ireland,,,,,,68.4
301-350,251-300,University of Ljubljana,Slovenia,,,,,,77.8
301-350,301-350,University of Milan,Italy,,,,,,60.7
301-350,301-350,University of Oslo,Norway,,,,,,65.3
301-350,301-350,University of Ottawa,Canada,,,,,,71.7
301-350,301-350,University of Pisa,Italy,,,,,,66.7
301-350,301-350,University of South Australia,Australia,,,,,,59.2
301-350,251-300,University of Tehran,"Iran, Islamic Republic of",,,,,,73.3
301-350,251-300,Vrije Universiteit Brussel (VUB),Belgium,,,,,,63.9
301-350,251-300,Washington University in St. Louis,United States,,,,,,37.7
301-350,301-350,Westfälische Wilhelms-Universität Münster ,Germany,,,,,,53.6
351-400,351-400,Ain Shams University ,Egypt,,,,,,59.9
351-400,351-400,Alexandria University ,Egypt,,,,,,61.9
351-400,351-400,Beijing Normal University ,China (Mainland),,,,,,35.9
351-400,301-350,Beijing University of Technology,China (Mainland),,,,,,55.1
351-400,301-350,Brunel University London,United Kingdom,,,,,,60.8
351-400,301-350,Budapest University of Technology and Economics,Hungary,,,,,,68.6
351-400,351-400,Chonnam National University,South Korea,,,,,,43
351-400,301-350,East China University of Science and Technology,China (Mainland),,,,,,48.5
351-400,351-400,Ecole Centrale de Lyon,France,,,,,,59.7
351-400,,École Normale Supérieure de Lyon,France,,,,,,57.4
351-400,301-350,Florida State University,United States,,,,,,49.7
351-400,401-420,Harbin Engineering University,China (Mainland),,,,,,61.7
351-400,351-400,Heriot-Watt University,United Kingdom,,,,,,59.9
351-400,301-350,Hunan University ,China (Mainland),,,,,,54
351-400,351-400,Jadavpur University,India,,,,,,49.5
351-400,351-400,Jagiellonian University,Poland,,,,,,59.8
351-400,,Keio University,Japan,,,,,,46.6
351-400,,La Trobe University,Australia,,,,,,51.9
351-400,351-400,Nanjing Tech University,China (Mainland),,,,,,51.6
